2026-04-08 22:27:52 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-08 22:27:52 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-08 22:27:52 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-08 22:27:52 | DEBUG    | src.utils.paths | project_root() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient
2026-04-08 22:27:52 | DEBUG    | src.utils.paths | rubrics_dir() -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics
2026-04-08 22:27:52 | DEBUG    | src.utils.paths | default_rubric_path('psychiatry_intake.json') -> D:\Year4\Semester 1\Capstone Project\Workspace\custom-simulated-patient\rubrics\psychiatry_intake.json
2026-04-08 22:27:52 | DEBUG    | passlib.utils.compat | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2026-04-08 22:27:52 | DEBUG    | passlib.utils.compat | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2026-04-08 22:27:52 | DEBUG    | passlib.utils.compat | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2026-04-08 22:27:52 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-04-08 22:27:52 | INFO     | api.main | Application startup: loading environment and initializing database
2026-04-08 22:27:52 | INFO     | src.utils.env | Loading environment variables from .env file
2026-04-08 22:27:52 | DEBUG    | src.utils.env | Environment variables loaded (override=False)
2026-04-08 22:27:52 | DEBUG    | api.main | Environment variables loaded
2026-04-08 22:27:52 | INFO     | api.database | Initializing MongoDB database
2026-04-08 22:27:52 | DEBUG    | pymongo.topology | {"message": "Starting topology monitoring", "topologyId": {"$oid": "69d6ac3896a187304c8b12ff"}}
2026-04-08 22:27:52 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d6ac3896a187304c8b12ff"}, "previousDescription": "<TopologyDescription id: 69d6ac3896a187304c8b12ff, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 69d6ac3896a187304c8b12ff, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>"}
2026-04-08 22:27:52 | DEBUG    | pymongo.topology | {"message": "Starting server monitoring", "topologyId": {"$oid": "69d6ac3896a187304c8b12ff"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 22:27:52 | DEBUG    | pymongo.connection | {"message": "Connection pool created", "clientId": {"$oid": "69d6ac3896a187304c8b12ff"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 22:27:52 | DEBUG    | pymongo.serverSelection | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x000001983EE1D800>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69d6ac3896a187304c8b12ff, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69d6ac3896a187304c8b12ff"}}
2026-04-08 22:27:52 | DEBUG    | pymongo.serverSelection | {"message": "Waiting for suitable server to become available", "selector": "<function writable_server_selector at 0x000001983EE1D800>", "operation": "createIndexes", "topologyDescription": "<TopologyDescription id: 69d6ac3896a187304c8b12ff, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "69d6ac3896a187304c8b12ff"}, "remainingTimeMS": 30000}
2026-04-08 22:27:52 | DEBUG    | pymongo.topology | {"message": "Server heartbeat started", "topologyId": {"$oid": "69d6ac3896a187304c8b12ff"}, "driverConnectionId": 1, "serverHost": "localhost", "serverPort": 27017, "awaited": false}
2026-04-08 22:27:52 | DEBUG    | pymongo.topology | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "69d6ac3896a187304c8b12ff"}, "driverConnectionId": 1, "serverConnectionId": 4, "serverHost": "localhost", "serverPort": 27017, "awaited": false, "durationMS": 0.0, "reply": "{\"helloOk\": true, \"ismaster\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"69d6a6f15444a9d018f77a67\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2026-04-08T19:27:52.692Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 4, \"maxWireVersion\": 27, \"ok\": 1.0}"}
2026-04-08 22:27:52 | DEBUG    | pymongo.connection | {"message": "Connection pool ready", "clientId": {"$oid": "69d6ac3896a187304c8b12ff"}, "serverHost": "localhost", "serverPort": 27017}
2026-04-08 22:27:52 | DEBUG    | pymongo.topology | {"message": "Topology description changed", "topologyId": {"$oid": "69d6ac3896a187304c8b12ff"}, "previousDescription": "<TopologyDescription id: 69d6ac3896a187304c8b12ff, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 69d6ac3896a187304c8b12ff, topology_type: Single, servers: [<ServerDescription ('localhost', 27017) server_type: Standalone, rtt: 0.0>]>"}
